Race,Age,Sex,Workclass,Marital-status
White,39,Male,State-gov,Never-married
White,50,Male,Self-emp-not-inc,Married-civ-spouse
White,38,Male,Private,Divorced
Black,53,Male,Private,Married-civ-spouse
Black,28,Female,Private,Married-civ-spouse
White,37,Female,Private,Married-civ-spouse
White,52,Male,Self-emp-not-inc,Married-civ-spouse
White,31,Female,Private,Never-married
White,42,Male,Private,Married-civ-spouse
Black,37,Male,Private,Married-civ-spouse
Asian-Pac-Islander,30,Male,State-gov,Married-civ-spouse
White,23,Female,Private,Never-married
Black,32,Male,Private,Never-married
Asian-Pac-Islander,40,Male,Private,Married-civ-spouse
White,25,Male,Self-emp-not-inc,Never-married
White,32,Male,Private,Never-married
White,38,Male,Private,Married-civ-spouse
White,43,Female,Self-emp-not-inc,Divorced
White,40,Male,Private,Married-civ-spouse
Black,35,Male,Federal-gov,Married-civ-spouse
White,43,Male,Private,Married-civ-spouse
White,59,Female,Private,Divorced
White,56,Male,Local-gov,Married-civ-spouse
White,19,Male,Private,Never-married
White,39,Male,Private,Divorced
White,49,Male,Private,Married-civ-spouse
White,23,Male,Local-gov,Never-married
Black,20,Male,Private,Never-married
White,45,Male,Private,Divorced
White,30,Male,Federal-gov,Married-civ-spouse
Black,22,Male,State-gov,Married-civ-spouse
White,48,Male,Private,Never-married
White,21,Male,Private,Never-married
White,31,Male,Private,Married-civ-spouse
White,48,Male,Self-emp-not-inc,Married-civ-spouse
White,31,Male,Private,Married-civ-spouse
White,53,Male,Self-emp-not-inc,Married-civ-spouse
White,24,Male,Private,Married-civ-spouse
White,49,Female,Private,Separated
White,25,Male,Private,Never-married
Black,57,Male,Federal-gov,Married-civ-spouse
White,53,Male,Private,Married-civ-spouse
White,44,Female,Private,Divorced
White,41,Male,State-gov,Married-civ-spouse
White,29,Male,Private,Never-married
White,18,Female,Private,Never-married
White,47,Female,Private,Married-civ-spouse
White,50,Male,Federal-gov,Divorced
White,47,Male,Self-emp-inc,Divorced
White,43,Male,Private,Married-civ-spouse
White,46,Male,Private,Married-civ-spouse
White,35,Male,Private,Married-civ-spouse
White,41,Male,Private,Married-civ-spouse
White,30,Male,Private,Married-civ-spouse
White,30,Male,Private,Married-civ-spouse
White,48,Male,Private,Married-civ-spouse
White,42,Male,Private,Married-civ-spouse
White,29,Male,Private,Divorced
White,36,Male,Private,Married-civ-spouse
White,28,Female,Private,Divorced
White,53,Female,Private,Married-civ-spouse
